Provider,Provider Country,SKU,Developer,Title,Version,Product Type Identifier,Units,Developer Proceeds,Begin Date,End Date,Customer Currency,Country Code,Currency of Proceeds,Apple Identifier,Customer Price,Promo Code,Parent Identifier,Subscription,Period
APPLE,US,inspire001,Associated Northcliffe Digital Limited,YOU INSPIRE,1.3,1T,1,0,01/05/2013,01/05/2013,CAD,CA,CAD,417945164,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,7T,21,0,01/05/2013,01/05/2013,JPY,JP,JPY,400442503,0, , , , 
APPLE,US,34234234234,Associated Northcliffe Digital Limited,TIWFashion,1.01,1,2,0,01/05/2013,01/05/2013,EUR,IE,EUR,573152478,0, , , , 
APPLE,US,34234234234,Associated Northcliffe Digital Limited,TIWFashion,1.01,1,37,0,01/05/2013,01/05/2013,GBP,GB,GBP,573152478,0, , , , 
APPLE,US,34234234234,Associated Northcliffe Digital Limited,TIWFashion,1.01,1,1,0,01/05/2013,01/05/2013,EUR,IT,EUR,573152478,0, , , , 
APPLE,US,uk.co.dailymail.weekly, ,Daily Mail Subscriptions_100_7, ,IAY,-1,1.82,01/05/2013,01/05/2013,GBP,GB,GBP,451693186,-2.99, ,4794K88545,Renewal,7 Days
APPLE,US,uk.co.dailymail.weekly, ,Daily Mail Subscriptions_100_7, ,IAY,1,12.59,01/05/2013,01/05/2013,AED,AE,AED,451693186,17.99, ,4794K88545,Renewal,7 Days
APPLE,US,com.metro.phone001,Associated Northcliffe Digital Limited,Metro Phone Edition,1.2,1,5,0,01/05/2013,01/05/2013,USD,US,USD,465059515,0, , , , 
APPLE,US,uk.co.dailymail.monthly, ,Daily Mail Subscriptions_200_30, ,IAY,2,9.54,01/05/2013,01/05/2013,AUD,AU,AUD,451693187,14.99, ,4794K88545,Renewal,1 Month
APPLE,US,Molmini001,Associated Northcliffe Digital Limited,MailOnline Mini,1,1T,2,0,01/05/2013,01/05/2013,USD,MY,USD,587463123,0, , , , 
APPLE,US,Molmini001,Associated Northcliffe Digital Limited,MailOnline Mini,1,1T,482,0,01/05/2013,01/05/2013,GBP,GB,GBP,587463123,0, , , , 
APPLE,US,Molmini001,Associated Northcliffe Digital Limited,MailOnline Mini,1,1T,1,0,01/05/2013,01/05/2013,EUR,DE,EUR,587463123,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,1,12,0,01/05/2013,01/05/2013,USD,PH,USD,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,7,1,0,01/05/2013,01/05/2013,IDR,ID,IDR,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,7,1,0,01/05/2013,01/05/2013,USD,BH,USD,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,1,1,0,01/05/2013,01/05/2013,USD,NA,USD,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,7,3,0,01/05/2013,01/05/2013,EUR,IT,EUR,384101264,0, , , , 
